1,Абрикосы сушеные (курага),5.16,Страна производитель-Турцияю. Индустриальные,1,Сухофрукты
2,Абрикосы сушеные (курага),8.28,Страна производитель-Турция. Натуральные,1,Сухофрукты
3,Абрикосы сушеные(урюк),9.00,Страна производитель-Узбекистан,1,Сухофрукты 
4,Ананас сушеный (кольцо),13.20,Страна производитель-Таиланд,1,Цукаты 
5,Ананас сушеный (кубики/листики/цилиндры/палочки),7.48,Страна производитель-Таиланд,1,Цукаты
6,Арахис бланшированный,4.44,Страна производитель-Аргентина/Китай/Индия,1,Орехи
7,Арахис бланшированный жареный,4.73,Страна производитель-Республика Беларусь,1,Орехи 
8,Арахис жареный соленый/жареный,4.73,Страна производитель-Республика Беларусь,1,Орехи 
9,Арахис очищенный,4.20,Страна производитель-(Аргентина/Узбекистан/Индия),1,Орехи 
10,Арахис неочищенный жареный,5.39,Страна производитель-Республика Беларусь,1,Орехи
11,Арахис жареный,4.73,Страна производитель-Республика Беларусь,1,Орехи
12,Арахис жареный в хрустящей оболочке(барбекю/лук и сыр/лук и сметана),10.34,Страна производитель-Китай,1,Снеки
13,Банановые чипсы,6.60,Страна производитель-Филлипины,1,Снеки
14,Бразильский орех,33.60,Страна производитель-Боливия,1,Орехи
15,Вишня сушеная,3.60,Страна производитель-Узбекистан,1,Цукаты
16,Вишня обезвоженная консервированная,15.40,Страна производитель-Китай,1,Другое
17,Виноград суш. (изюм) Коричневый,5.40,Страна производитель-Узбекистан,1,Сухофрукты
18,Виноград сушеный (изюм) Черный,4.32,Страна производитель-Узбекистан,1,Сухофрукты  
19,Виноград суш. (изюм) Золотой,7.44,Страна производитель-Узбекистан,Иран,1,Сухофрукты 
20,Виноград сушеный (изюм) Сояги,10.08,Страна производитель-Узбекистан,1,Сухофрукты 
21,Грецкий орех очищенный,13.58,Страна производитель-Украина,1,Орехи 
22,Груша сушеная,3.88,Страна производитель-Узбекистан,1,Сухофрукты 
23,Драже "Миндаль жареный в шоколадной глазури",14.07,Страна производитель-Республика Беларусь,1,Сладости 
24,Драже "Миндаль жареный в белой шоколадной глазури",14.07,Страна производитель-Республика Беларусь,1,Сладости 
25,Драже "Фундук жареный в шоколадной глазури",14.07,Страна производитель-Республика Беларусь,1,Сладости 
26,Драже "Фундук жареный в белой шоколадной глазури",14.07,Страна производитель-Республика Беларусь,1,Сладости 
27,Драже "Арахис жареный в шоколадной глазури",8.73,Страна производитель-Республика Беларусь,1,Сладости 
28,Драже "Арахис жареный в белой шоколадной глазури",8.73,Страна производитель-Республика Беларусь,1,Сладости 
29,Драже "Изюм в шоколадной глазури",9.70,Страна производитель-Республика Беларусь,1,Сладости 
31,Инжир сушеный Натуральный,14.55,Страна производитель-Турция,1,Сухофрукты
32,Имбирь сушеный,9.22,Страна производитель-Китай,1,Сухофрукты 
33,Кокос сушеный кубики,14.55,Страна производитель-Тайланд,1,Сухофрукты 
34,Кокосовая стружка,6.31,Страна производитель-Индонезия,1,Другое
35,Кешью орех,21.34,Страна производитель-Вьетнам,1,Орехи
36,Кешью жареный,24.25,Страна производитель-Республика Беларусь,1,Орехи  
37,Кедровый орех очищенный,69.36,Страна производитель-Россия,1,Орехи   
38,Клюква сушеная,11.64,Страна производитель-США,1,Цукаты 
39,Кумкват (мандарин),7.76,Страна производитель-Китай,1,Цукаты
40,Сладости сахарные "Чернослив в шоколаде",9.51,Страна производитель-Республика Беларусь,1,Сладости
41,Сладости сахарные"Курага в шоколаде",9.51,Страна производитель-Республика Беларусь,1,Сладости
42,Манго сушеные,листики,11.64,Страна производитель-Тайланд,1,Цукаты
43,Миндаль очищенный ядро,16.49,Страна производитель-США,1,Орехи
44,Миндаль очищенный ядро,18.43,Страна производитель-США,1,Орехи
45,Миндаль жареный,18.43,Страна производитель-Республика Беларусь,1,Орехи  
46,Орех макадамия,65.96,Страна производитель-Испания,1,Орехи 
47,Орех пекана,38.80,Страна производитель-Испания,1,Орехи 
48,Папайя сушеная палочки,7.76,Страна производитель-Тайланд,1,Цукаты
49,Помело сушеная палочки,7.47,Страна производитель-Тайланд,1,Цукаты
50,Семена подсолнечника очищенные,2.13,Страна производитель-Россия,1,Семена
51,Семена подсолнечника неочищенные,3.10,Страна производитель-Россия,1,Семена
52,Семя льна,2.43,Страна производитель-Россия,1,Семена
53,Семена тыквы неочищенные,5.82,Страна производитель-Украина,1,Семена 
54,Семена тыквы очищенные,7.76,Страна производитель-Украина,1,Семена 
55,Семена чиа,9.70,Страна производитель-Боливия,1,Семена 
56,Сезам семена кунжута,6.79,Страна производитель-Индия,1,Семена
57,Смаката казинаки,6.79,Страна производитель-Индия,1,Семена
58,Смакерсы,6.31,Страна производитель-Республика Беларусь. В ассортименте мягкая нуга и арахис/сахарная нуга и арахис/шоколадная нуга и арахис,1,Сладости
59,Смесь фруктово-ореховая  «Шляхецкi пачастунак»,7.76,Страна производитель-Республика Беларусь,1,Смеси
60,Смесь ореховая соленая,13.10,Страна производитель-Республика Беларусь,1,Смеси  
61,Смесь компотная,2.85,Страна производитель-Республика Беларусь,1,Смеси  
62,Финики сушеные КАБКАБ,2.43,Страна производитель-Иран,1,Сухофрукты
63,Финики сушеные Saye,2.72,Страна производитель-Иран,1,Сухофрукты
64,Фисташки жареные соленые,25,22,Страна производитель-Республика Беларусь,1,Орехи
65,Фундук очищенный ядро,14.55,Страна производитель-Грузия,Азербайджан,1,Орехи
66,Фундук жареный,17,95,Страна производитель-Республика Беларусь,1,Орехи
67,Чернослив без косточек,5.82,Страна производитель-Чили,Аргентина,1,Сухофрукты
68,Чернослив,3.88,Страна производитель-Узбекистан,1,Сухофрукты
69,Шиповник,5.04,Страна производитель-Молдова,1,Сухофрукты
70,Яблоки,3.69,Страна производитель-Молдова,1,Сухофрукты
71,Ядра абрикосовых косточек,5.24,Страна производитель-Молдова,1,Сухофрукты
72,Арахис жареный в хрустящей оболочке,1.65,Страна производитель-Китай,1,Орехи
73,Арахис неочищенный жаренный,2.04,Страна производитель-Республика Беларусь,1,Орехи 
74,Инжир сушеный Натуральный,4.85,Страна производитель-Турция,1,Сухофрукты   
75,Инжир сушеный Garland,2.28,Страна производитель-Турция,1,Сухофрукты   
76,Какао порошок,1.46,Страна производитель-Нидерланды,1,Другое
77,Кедровый орех очищенный,7.28,Страна производитель-Россия,1,Орехи 
78,Лавровый лист,0.39,Страна производитель-Россия,1,Другое 
79,Маковая начинка,4.07,Страна производитель-Литва,1,Другое   
80,Мед натуральный в ассортименте,3.30,Страна производитель-Россия,1,Другое 
81,Миндальные лепестки,2.09,Страна производитель-США,1,Другое  
82,Паста арахисовая классическая,2.43,Страна производитель-Республика Беларусь,1,Другое  
83,Семечки подсолнечника жареные,0.49,Страна производитель-Республика Беларусь,1,Семена 


